name,category_id,body,main_image,image_2,image_3
Amy Wilmington,1,"I am a native to the Chicagoland area currently living in Oak Park.   I received my masters in art therapy and believe in using art to communicate and connect with others. I chose to concentrate my paintings on animals because animals have personality and depth. How we see them defines who we are and what we want. Painting animals allows me to pay attention to the details and meanings of my world and the animals who inhabit it. For many of my animal paintings, I used a multilayered approach with watercolor, adding and removing layers. It’s through this process that I see the value and significance of the everyday.",Amy Wilmington Bun Bun.jpg,Amy Wilmington Cranes.jpg,Amy Wilmington Porcupine.jpg
Anna Hasseltine,2,"I am a Boston-born printmaker and recent BFA graduate from Pratt Institute in Brooklyn. New to Chicago, I am currently working and creating fauna and flora prints in Pilsen. My most recent project is my Road Trip Series. It is a print portfolio comprised of twenty-one 9x12” portraits of different birds and flowers that I observed during a cross-country road trip this past fall. While I was on this trip, I would stop every so often and take note of the different animal and plant life I saw from state to state. When I got back to the studio, I created this series which I view as a field guide, a documentation, and a reflection of my road trip.

Most of my work is completed in the relief or silkscreen printmaking technique. My inspiration for my other work comes from the floral and animal species of William Shakespeare’s histories, comedies, and tragedies as well as the scientific documentation and illustrations of natural history. I am interested in Shakespeare’s metaphorical uses of the plants and animals in his stories, as they become symbolic representations of loss, greed, conquest, love and gluttony among other human emotions and traits. The second large component to my work is the research of actual behaviors and physical characteristics of the species I choose to depict by studying a variety of scientific illustrations. In my art practice, I create works that combine both natural science and Shakespearean stories.",Anna Hasseltine 1.jpg,Anna Hasseltine.jpg,
Bennett Art,2,"Amanda Bennett remembers painting with her grandmother as a child, who used a spatula as her primary tool. However, it wasn’t until years later, staring at the blank walls of her loft in Birmingham, Alabama, that she rediscovered her passion for the process of creation. Though it began as a practical answer to the abject poverty of life after college, this act of thrifty outfitting inspired her to cultivate her own unique style, a place where process demands as much attention as its end result.
As a Huntsville, Alabama native, Bennett moved to Nashville eight years ago where she finally got serious about her art. Her music inspired art gained local attention, as her signature guitars found their homes in local digs such as Fanny’s House of Music on the east side. When Bennett finally decided to release the paces of nine to five living, her art reflected her transformation. She moved through a transcendent few months of abstracts and then awakened one morning from a night of mixed media dreaming.
If you’re wondering where you’ll find Bennett lately, it’s snapping crazy cool shots of local characters and characters around Nashville and beyond, most recently capturing the soul and local flavor of the Mississippi Delta and New Orleans. Her latest series demonstrates her ever-evolving and rare perspective, a photographic journey of tales untold in the way Deep South. She has taken two things she loves, acrylic mediums and photography, and transformed them in to a funk style mash up on plywood for your viewing pleasure.
However, Bennett is never too far from her grandmother’s easel, creating art inspired by the technique and the soul of her teacher.
",,,
Betty Turbo,2,"Oh hey, it's me!  Your friend Betty Turbo. My life as a Maker of Things began in a family of very artistic grizzly bears in the snowy wilds of Alaska. I earned a BFA in photography from RIT, and then moved to Nashville to get down and dirty with the type spirits of the universe at Hatch Show Print. After letterpress heaven and a stint as a professional cake decorator, I now focus full-time on art shenanigans from my headquarters in Oregon. All those adventures have been blended up into the milkshake of radness you now recognize as the world of Betty Turbo. Known best for hand lettering, portraits, and food imagery, my personal campaign for joy and tasty things is spread through original art, greeting cards, plush sculptures, home décor items, and clothing featuring my illustrations.",betty turbo.jpg,,
Broad Street,4,"Broad Street is a collective of small batch jewelry, gemstones and ritual tools. Each item within the collection is a distinct vision, a juxtaposition of materials translated through metalwork and the craft of ritual.  

Broad Street transforms folklore into adornment, embracing a native spirit that inspires beauty and respect for the tradition of craft and holistic devotion.

Broad Street connects to your spirit and adorns you.  ",broadstreet.jpg,broadstreet2.jpg,Broadstreet Jewelry.jpg
Carlos Baldizón Martini,2,"I’m a Chicago based artist originally from Guatemala who has become known for my simple, yet colorful paintings mainly on paper and canvas. My combination of black and white subject matter with bright and colorful backgrounds make for a unique contrast, creating cheerful and unique pieces adaptable to any environment. All pieces reflect my love for color, contrast, detail, and movement. I have created pieces ranging in style, size and medium, and I have begun to experiment with other mediums such as glass and mirrors. Although my work appears uncomplicated, a fair amount of detail has been dedicated to every single piece.

",CarlosBMartini.jpg,,
Citizen Shay,2,"Citizen Shay is Steve Shay, a self identified citizen of the World. Steve has no formal training but is trained as a graphic designer with a focus on information design. He believes that information can become art, tell a story, and create emotion. This belief led Steve to start experimenting with his own mixed-media “art” in 2005. Today, he is constantly experimenting with various techniques, creating small pieces of work using various media such as paint, pen, paper, gels, photography, wood, and epherema. It’s all an attempt to create pieces that tell short stories while being visually stimulating.",shay.jpg,shay2.jpg,shay3.jpg
Dark Island City,2,Growing up I always had a fascination about houses/building and how they were constructed. In high school I took a vocation architecture/drafting class to learn how to draw and design houses. After high school I went to Suny Farmingdale on Long Island and majored in Architecture/Engineering Construction Management. I had worked in a architectural/drafting office from 2000-2010. While their I had worked my way up from organizing paperwork and drawing simple things like site plans and maps to working on proposed projects and different types of commercial properties. As the years went on the love for doing that type of work had slowly started to leave me and I was looking for a change in what I did. To this day I still love building and maps but now I just look at them in a different point of view.,,,
Edgewater Candles,6,"Edgewater Candles are handmade, rustic soy candles with a variety of wonderful fragrances. Evocative scents and herbal essences will tempt your senses. Whether you prefer woodsy, citrus, spicy, musky, or clean and fresh, we have something for everyone. The simple, label-free glass jar and neutral color fit perfectly into any decor. We are upcycling and repurposing enthusiasts. Our labels are minimal so the jar can be easily reused. After the candle is spent, wipe out any remaining soy wax with a paper towel and use a pair of pliers to remove the wick holder. The mason jar can then be used in the freezer, refrigerator, or microwaved without the lid on. Our fragrances are essential oil and fragrance oil blends and are all pthtlate free and all our wicks are free of any metals.",Edgewater Candles Red Ginger Saffron.jpg,,
Emmy Star Brown,1,"Emmy Star Brown is a Chicago-based painter, illustrator, calligrapher and pattern designer. Her clean and monochromatic palette is reflective of her graphic design background, as well as her love for modern design. Her seamless designs are always created freehand. Emmy is best recognized for her lettering and array of original commissioned work. She paints with graceful precision across various materials, including glass, canvas, wood and mirror. Her custom work ranges from personalized glass paintings and wedding signage to abstract wall murals. Emmy loves collaborating with individuals and creative brands alike. She has years of experience creating artwork for residential and commercial projects, as well as painting live at events. She also licenses her illustrations.",Emmy Star Brown Blossom.jpg,Emmy Star Brown Chicago.jpg,Emmy Star Brown photo.jpg
